Unnamed: 0,Inhibitor,Metal,Alloy,Temperature_K,pH,Salt_Concentrat_M,Efficiency,Cost/100 gm,Cost,Toxicity,Source,cluster_label
4,"1H-Imidazo[4,5]pyrazine-2-thiol",Al,AA2024,298,4,0.1,50,502056,https://store.apolloscientific.co.uk/product/1h-imidazo45-bpyridine-2-thiol,skineye respiratory irritation,https://store.apolloscientific.co.uk/product/1h-imidazo45-bpyridine-2-thiol,1
5,2-Mercapto-5-methylbenzimidazole,Al,AA2024,298,4,0.1,80,"8,458.20",https://www.sigmaaldrich.com/IN/en/product/aldrich/263575?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fgJKoOLPeW0y2O4rARmA7OAQhk79XthY5VseB5lymXQniKtk3uyAooaAudHEALw_wcB,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercapto-5-methylbenzimidazole#section=Safety-and-Hazards,1
10,Thiosalicylic acid / 2-Sulfanylbenzoic acid / 2-Mercaptobenzoic acid,Al,AA2024,298,7,0.1,88,250,https://m.indiamart.com/proddetail/thiosalicylic-acid-21198326930.html,skin eye irritation,https://sdfine.com/coa/56472MSDS.pdf,1
12,2-Mercaptonicotinic acid,Al,AA2024,298,7,0.1,83,8762.25,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB4378840.htm,skin eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptonicotinic-acid,1
13,2-Mercaptopyrimidine,Al,AA2024,298,7,0.1,89,71373,https://www.sigmaaldrich.com/IN/en/product/aldrich/129623?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fiC75hLao6x1gJXkt9HVWr-KA2jDwBpDkzGVYLsbbljJZuhJ6llyrUaAqihEALw_wcB,skin eye irritation may cause respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptopyrimidine,1
18,"3-Amino-1,2,4-triazole",Al,AA2024,298,4,0.1,70,7958.7,https://www.sigmaaldrich.com/IN/en/product/sigma/a8056?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhhOzpl0qxEPkwhlpGrWnOl1RTA0-egMgA3imSKsca_wz4QQzgE_fkaAjfQEALw_wcB,toxic aquatic life long lasting effect disorder developement embryo,https://www.sigmaaldrich.com/IN/en/sds/sigma/a8056,1
28,4-Mercaptobenzoic acid,Al,AA2024,298,7,0.1,97,689000,https://www.sigmaaldrich.com/IN/en/product/aldrich/706329?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhZH6xaeZtOqQi3SLfFU68g365mAiyxJ1OxaGZif_Xv5R8sZiALQHgaAmeeEALw_wcB,skin eye irritation may cause respiratory irritation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7747936/,1
29,"4,5-Diamino-2,6-dimercaptopyrimidine",Al,AA2024,298,7,0.1,87,223998,https://www.sigmaaldrich.com/IN/en/product/aldrich/d15405?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fjY3foQde_9WnsXb4vNV8K84KgHr6CoMa_EQg5V660qTu2scG2a9M8aAkrsEALw_wcB,skin eye irritation respiratory irritation,https://www.chemicalbook.com/msds/2-4-dimercapto-5-6-diaminopyrimidine.htm,1
30,"4,5-Diaminopyrimidine",Al,AA2024,298,4,0.1,50,1750470,https://www.sigmaaldrich.com/IN/en/product/aldrich/d24501?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhGD-rBUpdVtHLjXVwyfNf61qXY1WuHEokvFgnzU6H-lYef8dAEmMcaAnNjEALw_wcB,skineye irritation fatal inhaled toxic contact skin,https://www.fishersci.dk/shop/products/4-5-diaminopyrimidine-97-thermo-scientific/10366354,1
31,"4,6-Diamino-2-mercaptopyrimidine",Al,AA2024,298,10,0.1,60,296.4,https://m.indiamart.com/proddetail/4-6-diamino-2-mercaptopyrimidine-cas-1004-39-3-2852538268333.html,skin eye irritation digestive respiratory tract irritation,https://fscimage.fishersci.com/msds/94034.htm,1
